SurrogateId,Period,[Australian dollar ],[Brazilian real ],[Canadian dollar ],[Swiss franc ],[Chinese yuan renminbi ],[Czech koruna ],[Danish krone ],[UK pound sterling ],[Hong Kong dollar ],[Croatian kuna ],[Hungarian forint ],[Indonesian rupiah ],[Israeli shekel ],[Indian rupee ],[Iceland krona ],[Japanese yen ],[Korean won ],[Mexican peso ],[Malaysian ringgit ],[Norwegian krone ],[New Zealand dollar ],[Philippine peso ],[Polish zloty ],[Romanian leu ],[Russian rouble ],[Swedish krona ],[Singapore dollar ],[Thai baht ],[Turkish lira ],[US dollar ],[South African rand ],[EU euro ]
11,2020/01/24,1.46144087,4.176166742,1.313185319,0.970729497,6.933303126,22.80018124,6.772088808,0.764050748,7.772541912,6.743543271,304.4947893,13595.74989,3.452650657,71.29134572,124.5129135,109.6148618,1168.21024,18.77390122,4.064975079,9.005437245,1.511916629,50.8309923,3.857272315,4.331581332,61.77544178,9.548074309,1.351155415,30.56003625,5.939193475,1,14.37109198,0.906207522
12,2020/01/23,1.456045442,4.170318276,1.316292489,0.967811739,6.933279235,22.68415833,6.738075917,0.761860968,7.772157605,6.711567938,304.0212785,13651.99711,3.456496258,71.31593184,124.2448832,109.5482824,1167.748625,18.71129745,4.06996664,8.987286989,1.514471193,50.95482824,3.826435849,4.308718781,61.87909115,9.509782707,1.349833198,30.54999549,5.930123524,1,14.38130015,0.901631954
13,2020/01/22,1.45959596,4.192460317,1.304563492,0.970147908,6.902056277,22.66955267,6.739628427,0.761589105,7.771464646,6.70770202,302.6785714,13652.33586,3.452290765,71.12779582,124.2784993,109.9657287,1163.933983,18.70643939,4.06547619,8.981782107,1.513528139,50.95508658,3.821969697,4.30952381,61.95292208,9.517316017,1.348665224,30.37968975,5.92288961,1,14.40746753,0.901875902
14,2020/01/21,1.455420603,4.198020693,1.305623032,0.966531714,6.903463788,22.55150697,6.722896986,0.765002249,7.769860549,6.691408007,301.6824112,13673.31534,3.455240666,71.19613135,123.9766082,110.0404858,1167.899235,18.73090418,4.071524966,8.939271255,1.512460639,51.00224921,3.818083671,4.299145299,61.83535762,9.493747188,1.348987854,30.40035987,5.93234368,1,14.47584345,0.89968511
15,2020/01/20,1.457284619,4.182228236,1.306901218,0.968606225,6.866215607,22.66576455,6.741181777,0.769282815,7.768335589,6.707983762,303.4641407,13638.52052,3.457465043,71.07262066,124.1317095,110.1849346,1160.198466,18.66847091,4.061524583,8.914298602,1.515200722,50.95985566,3.827965719,4.311592242,61.53134867,9.521695986,1.348037889,30.35363103,5.91826793,1,14.52819125,0.902119982
16,2020/01/17,1.451386388,4.176269355,1.305185452,0.966510623,6.858660425,22.63863882,6.727493698,0.766159525,7.768455167,6.695894851,302.1155924,13670.24667,3.454447245,71.08093266,123.6946345,110.1098308,1159.85776,18.75567159,4.054825351,8.902592726,1.510803025,50.90745409,3.814097947,4.303474973,61.44175369,9.493158084,1.346777098,30.37990637,5.880716601,1,14.4564278,0.900252071
17,2020/01/16,1.442832841,4.165010296,1.303518668,0.961500582,6.879487868,22.53558958,6.690751186,0.765243084,7.772584833,6.662906258,298.8987376,13630.00269,3.453755932,70.92935804,122.6609365,109.9471752,1158.447489,18.79317754,4.062763005,8.869012445,1.50138777,50.83355717,3.789417137,4.278807413,61.60820127,9.461724416,1.345241293,30.3652968,5.852180141,1,14.43540156,0.895335303
18,2020/01/15,1.452880991,4.15993538,1.30721594,0.964907557,6.887991384,22.56686412,6.706785137,0.769009155,7.771584994,6.681295997,298.8152935,13697.98959,3.460868785,70.79743314,122.5991743,109.8815293,1157.081314,18.80649794,4.075480165,8.86914378,1.517232095,50.7278765,3.793304613,4.290342847,61.42398133,9.476754622,1.34724466,30.23963382,5.885837372,1,14.37964459,0.897504936
19,2020/01/14,1.449392713,4.143589744,1.307062528,0.968690958,6.88582996,22.63157895,6.723436797,0.770292398,7.777507872,6.698155646,299.3882141,13692.80252,3.467476383,70.8308592,123.4367971,110.0494827,1156.761134,18.83994602,4.074493927,8.89968511,1.511740891,50.60008997,3.798380567,4.300044984,61.39613135,9.469005848,1.347818264,30.25101215,5.888259109,1,14.41961314,0.89968511
20,2020/01/13,1.448588891,4.119360058,1.304511954,0.971687938,6.89349272,22.67661334,6.716879382,0.770807118,7.774941578,6.691083948,300.4583858,13700.99766,3.469710588,70.84531727,123.3147582,109.8777638,1157.729642,18.79237821,4.062466295,8.894031997,1.507190365,50.46467733,3.806219666,4.294804961,61.19836419,9.491101923,1.347204746,30.21750854,5.861855114,1,14.37605608,0.898795614
