Date,IndexTicker,Open,High,Low,Close,Adj Close,Volume,Id
2009/05/01,NASDAQ,1719.290039,1728.099976,1703.52002,1719.199951,1719.199951,2165930000,1
2009/05/04,NASDAQ,1733.709961,1763.560059,1729.310059,1763.560059,1763.560059,2524800000,2
2009/05/05,NASDAQ,1757.26001,1759.420044,1735.369995,1754.119995,1754.119995,2538290000,3
2009/05/06,NASDAQ,1768.689941,1770.290039,1730.969971,1759.099976,1759.099976,2966510000,4
2009/05/07,NASDAQ,1772.099976,1773.130005,1702.540039,1716.23999,1716.23999,3299360000,5
2009/05/08,NASDAQ,1733.5,1747.410034,1711.01001,1739,1739,3206310000,6
2009/05/11,NASDAQ,1713.650024,1747.969971,1705.869995,1731.23999,1731.23999,2543450000,7
2009/05/12,NASDAQ,1742.859985,1743.52002,1695.869995,1715.920044,1715.920044,2475150000,8
2009/05/13,NASDAQ,1696.800049,1697.76001,1664.189941,1664.189941,1664.189941,2356410000,9
2009/05/14,NASDAQ,1672.47998,1701.219971,1667.939941,1689.209961,1689.209961,2162620000,10
2009/05/15,NASDAQ,1687.48999,1703.449951,1676.560059,1680.140015,1680.140015,2057500000,11
2009/05/18,NASDAQ,1696.819946,1732.359985,1689.550049,1732.359985,1732.359985,2023250000,12
2009/05/19,NASDAQ,1727,1750.050049,1719.920044,1734.540039,1734.540039,2076390000,13
2009/05/20,NASDAQ,1743.599976,1767.469971,1722.319946,1727.839966,1727.839966,2261780000,14
2009/05/21,NASDAQ,1709.829956,1719.579956,1677.77002,1695.25,1695.25,2206610000,15
2009/05/22,NASDAQ,1702.060059,1711.97998,1682.23999,1692.01001,1692.01001,1619520000,16
2009/05/26,NASDAQ,1677.719971,1751.469971,1677.540039,1750.430054,1750.430054,2095650000,17
2009/05/27,NASDAQ,1745.560059,1768.219971,1728.959961,1731.079956,1731.079956,2118100000,18
2009/05/28,NASDAQ,1744.22998,1754.949951,1714.47998,1751.790039,1751.790039,2189090000,19
2009/05/29,NASDAQ,1756.26001,1774.329956,1742.98999,1774.329956,1774.329956,2465310000,20
2009/06/01,NASDAQ,1796.089966,1833.180054,1792.800049,1828.680054,1828.680054,2600340000,21
2009/06/02,NASDAQ,1821.219971,1846.650024,1815.829956,1836.800049,1836.800049,2611690000,22
2009/06/03,NASDAQ,1825.599976,1828.089966,1806.51001,1825.920044,1825.920044,2246950000,23
2009/06/04,NASDAQ,1829.839966,1850.040039,1825.619995,1850.02002,1850.02002,2468840000,24
2009/06/05,NASDAQ,1864.02002,1865.949951,1834.630005,1849.420044,1849.420044,2310590000,25
2009/06/08,NASDAQ,1836.869995,1857.800049,1818.589966,1842.400024,1842.400024,1972980000,26
2009/06/09,NASDAQ,1850.47998,1869.52002,1846.26001,1860.130005,1860.130005,2140370000,27
2009/06/10,NASDAQ,1872.01001,1872.699951,1827.609985,1853.079956,1853.079956,2347870000,28
2009/06/11,NASDAQ,1854.75,1879.920044,1854.75,1862.369995,1862.369995,2463860000,29
2009/06/12,NASDAQ,1852.430054,1858.800049,1833.390015,1858.800049,1858.800049,2013560000,30
2009/06/15,NASDAQ,1837.939941,1838.329956,1803.069946,1816.380005,1816.380005,2154700000,31
2009/06/16,NASDAQ,1825.199951,1831.180054,1795.550049,1796.180054,1796.180054,2227700000,32
2009/06/17,NASDAQ,1799.219971,1824.199951,1785.339966,1808.060059,1808.060059,2523180000,33
2009/06/18,NASDAQ,1809.040039,1816.599976,1795.73999,1807.719971,1807.719971,2067830000,34
2009/06/19,NASDAQ,1824.98999,1837.579956,1817.069946,1827.469971,1827.469971,2864420000,35
2009/06/22,NASDAQ,1809.530029,1810.579956,1765.849976,1766.189941,1766.189941,2318970000,36
2009/06/23,NASDAQ,1771.420044,1777.579956,1753.780029,1764.920044,1764.920044,2152480000,37
2009/06/24,NASDAQ,1780.880005,1807.079956,1780.25,1792.339966,1792.339966,2150570000,38
2009/06/25,NASDAQ,1783.189941,1829.670044,1779.180054,1829.540039,1829.540039,2227980000,39
2009/06/26,NASDAQ,1819.160034,1840.97998,1816.839966,1838.219971,1838.219971,3989940000,40
2009/06/29,NASDAQ,1842.089966,1854.089966,1825.030029,1844.060059,1844.060059,1981450000,41
2009/06/30,NASDAQ,1845.469971,1854.689941,1824.949951,1835.040039,1835.040039,2044980000,42
2009/07/01,NASDAQ,1846.119995,1861.619995,1843.790039,1845.719971,1845.719971,1971050000,43
2009/07/02,NASDAQ,1823.689941,1823.910034,1795.949951,1796.52002,1796.52002,1923070000,44
2009/07/06,NASDAQ,1783.5,1793.420044,1770.109985,1787.400024,1787.400024,1970530000,45
2009/07/07,NASDAQ,1787.439941,1788.969971,1745.380005,1746.170044,1746.170044,2027240000,46
2009/07/08,NASDAQ,1756,1757.670044,1727.050049,1747.170044,1747.170044,2467520000,47
2009/07/09,NASDAQ,1756.969971,1763.630005,1747.439941,1752.550049,1752.550049,1868280000,48
2009/07/10,NASDAQ,1744.609985,1764.109985,1738.26001,1756.030029,1756.030029,1658010000,49
2009/07/13,NASDAQ,1761.030029,1793.209961,1736.949951,1793.209961,1793.209961,1899410000,50
2009/07/14,NASDAQ,1790.699951,1800.72998,1782.849976,1799.72998,1799.72998,1856910000,51
2009/07/15,NASDAQ,1827.609985,1863.290039,1824.310059,1862.900024,1862.900024,2543340000,52
2009/07/16,NASDAQ,1856.050049,1887.890015,1854.699951,1885.030029,1885.030029,2072730000,53
2009/07/17,NASDAQ,1880.310059,1887.339966,1873.810059,1886.609985,1886.609985,1876760000,54
