Date,IndexTicker,Open,High,Low,Close,Adj Close,Volume,Id
2009/05/01,GSPC,872.73999,880.47998,866.099976,877.52002,877.52002,5312170000,5425
2009/05/04,GSPC,879.210022,907.849976,879.210022,907.23999,907.23999,7038840000,5426
2009/05/05,GSPC,906.099976,907.700012,897.340027,903.799988,903.799988,6882860000,5427
2009/05/06,GSPC,903.950012,920.280029,903.950012,919.530029,919.530029,8555040000,5428
2009/05/07,GSPC,919.580017,929.580017,901.359985,907.390015,907.390015,9120100000,5429
2009/05/08,GSPC,909.030029,930.169983,909.030029,929.22998,929.22998,8163280000,5430
2009/05/11,GSPC,922.98999,922.98999,908.679993,909.23999,909.23999,6150600000,5431
2009/05/12,GSPC,910.52002,915.570007,896.460022,908.349976,908.349976,6871750000,5432
2009/05/13,GSPC,905.400024,905.400024,882.799988,883.919983,883.919983,7091820000,5433
2009/05/14,GSPC,884.23999,898.359985,882.52002,893.070007,893.070007,6134870000,5434
2009/05/15,GSPC,892.76001,896.969971,878.940002,882.880005,882.880005,5439720000,5435
2009/05/18,GSPC,886.070007,910,886.070007,909.710022,909.710022,5702150000,5436
2009/05/19,GSPC,909.669983,916.390015,905.219971,908.130005,908.130005,6616270000,5437
2009/05/20,GSPC,908.619995,924.599976,901.369995,903.469971,903.469971,8205060000,5438
2009/05/21,GSPC,900.419983,900.419983,879.609985,888.330017,888.330017,6019840000,5439
2009/05/22,GSPC,888.679993,896.650024,883.75,887,887,5155320000,5440
2009/05/26,GSPC,887,911.76001,881.460022,910.330017,910.330017,5667050000,5441
2009/05/27,GSPC,909.950012,913.840027,891.869995,893.059998,893.059998,5698800000,5442
2009/05/28,GSPC,892.960022,909.450012,887.599976,906.830017,906.830017,5738980000,5443
2009/05/29,GSPC,907.02002,920.02002,903.559998,919.140015,919.140015,6050420000,5444
2009/06/01,GSPC,923.26001,947.77002,923.26001,942.869995,942.869995,6370440000,5445
2009/06/02,GSPC,942.869995,949.380005,938.460022,944.73999,944.73999,5987340000,5446
